"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","GBR.NGDPD.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2701.370","2900.745","2877.392","2725.948","3195.327","3192.851","3422.072","3695.355","4003.022","4264.794"
"IMF.RES:WEO(9.0.0)","G205.NID_NGDP.A","OBS_VALUE","Latin America and the Caribbean (LAC)","Gross capital formation, Percent of GDP","Annual","Units","18.833","19.154","18.885","17.966","20.569","20.467","19.376","19.480","19.017","19.018"
"IMF.RES:WEO(9.0.0)","USA.NGSD_NGDP.A","OBS_VALUE","United States","Gross national savings, Percent of GDP","Annual","Units","18.882","19.126","19.329","18.232","17.583","18.186","17.026","16.494","16.804","17.701"
"IMF.RES:WEO(9.0.0)","G110.NGDP_RPCH.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.609","2.312","1.859","-3.927","6.116","3.055","1.702","1.839","1.935","1.777"
"IMF.RES:WEO(9.0.0)","G603.NGDPD.A","OBS_VALUE","Sub-Saharan Africa (SSA)","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1807.762","1963.299","2017.614","1867.793","2089.003","2229.855","2095.487","1931.641","2131.184","2437.320"
"IMF.RES:WEO(9.0.0)","G119.NGDP_RPCH.A","OBS_VALUE","G7","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.385","2.124","1.724","-4.179","5.983","2.776","1.779","1.667","1.546","1.601"
"IMF.RES:WEO(9.0.0)","G001.NGDP_RPCHMK.A","OBS_VALUE","World","Gross domestic product (GDP), Constant prices, Percent","Annual","Units","3.371","3.215","2.608","-3.023","6.502","3.383","2.826","2.870","2.863","2.564"
"IMF.RES:WEO(9.0.0)","G001.NGSD_NGDP.A","OBS_VALUE","World","Gross national savings, Percent of GDP","Annual","Units","26.574","26.941","26.957","26.720","28.003","27.887","26.579","26.356","26.112","26.209"
"IMF.RES:WEO(9.0.0)","G110.NGSD_NGDP.A","OBS_VALUE","Advanced Economies","Gross national savings, Percent of GDP","Annual","Units","23.191","23.346","23.459","22.778","23.685","23.134","22.201","21.967","22.067","22.325"
"IMF.RES:WEO(9.0.0)","G110.PPPGDP.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","54301.458","56771.164","59659.327","58899.199","65202.409","71954.259","75848.156","79145.491","82943.317","86828.453"
"IMF.RES:WEO(9.0.0)","G001.NGDP_RPCH.A","OBS_VALUE","World","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.842","3.643","2.957","-2.707","6.653","3.774","3.328","3.416","3.441","3.056"
"IMF.RES:WEO(9.0.0)","G001.NID_NGDP.A","OBS_VALUE","World","Gross capital formation, Percent of GDP","Annual","Units","26.065","26.577","26.577","26.450","27.220","27.498","26.634","26.211","25.813","25.886"
"IMF.RES:WEO(9.0.0)","G110.NGDPD.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","49233.645","52110.328","52663.787","51829.643","57983.984","59358.621","62760.184","65382.172","69386.689","73813.721"
"IMF.RES:WEO(9.0.0)","BEL.NGDP_RPCH.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","1.475","1.878","2.443","-4.793","6.254","3.956","1.714","1.071","0.972","0.661"
"IMF.RES:WEO(9.0.0)","AUT.PPPGDP.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","473.924","500.696","535.947","521.842","569.375","642.383","660.914","672.857","696.205","721.033"
"IMF.RES:WEO(9.0.0)","AUT.NGDPD.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","414.780","452.787","443.033","434.050","480.786","473.594","516.820","534.630","579.928","623.719"
"IMF.RES:WEO(9.0.0)","GBR.NGDP_RPCH.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.023","1.551","1.256","-10.048","8.543","5.150","0.272","1.088","1.323","0.797"
"IMF.RES:WEO(9.0.0)","G119.PPPGDP.A","OBS_VALUE","G7","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","39797.857","41525.288","43504.025","42842.764","47174.499","51926.052","54795.580","57082.479","59606.413","62292.231"
"IMF.RES:WEO(9.0.0)","USA.NID_NGDP.A","OBS_VALUE","United States","Gross capital formation, Percent of GDP","Annual","Units","21.156","21.569","21.670","21.438","21.407","22.027","21.570","21.533","21.360","21.405"
"IMF.RES:WEO(9.0.0)","G119.NGDPD.A","OBS_VALUE","G7","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","37322.971","39377.360","40110.102","39436.111","43676.503","45003.031","47757.187","49681.406","52492.254","55322.424"
"IMF.RES:WEO(9.0.0)","GBR.NGSD_NGDP.A","OBS_VALUE","United Kingdom","Gross national savings, Percent of GDP","Annual","Units","15.721","15.035","16.434","15.548","17.803","17.204","15.374","15.941","15.438","16.081"
"IMF.RES:WEO(9.0.0)","USA.NGDPD.A","OBS_VALUE","United States","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19612.100","20656.525","21539.975","21375.275","23725.650","26054.600","27811.500","29298.025","30767.075","32383.920"
"IMF.RES:WEO(9.0.0)","G119.NGSD_NGDP.A","OBS_VALUE","G7","Gross national savings, Percent of GDP","Annual","Units","21.605","21.840","22.065","20.982","21.460","20.949","20.115","19.734","19.820","20.220"
"IMF.RES:WEO(9.0.0)","GBR.NID_NGDP.A","OBS_VALUE","United Kingdom","Gross capital formation, Percent of GDP","Annual","Units","19.100","18.758","18.914","18.268","18.559","19.120","18.944","18.920","18.564","19.462"
"IMF.RES:WEO(9.0.0)","USA.NGDP_RPCH.A","OBS_VALUE","United States","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","2.458","2.967","2.584","-2.081","6.152","2.524","2.935","2.793","2.117","2.324"
"IMF.RES:WEO(9.0.0)","G119.NID_NGDP.A","OBS_VALUE","G7","Gross capital formation, Percent of GDP","Annual","Units","21.719","22.097","22.168","21.937","22.335","22.949","22.250","21.963","21.907","21.966"
"IMF.RES:WEO(9.0.0)","GBR.PPPGDP.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","3063.422","3157.647","3364.310","3251.564","3601.593","4056.416","4217.932","4369.680","4553.105","4720.863"
"IMF.RES:WEO(9.0.0)","USA.PPPGDP.A","OBS_VALUE","United States","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","19612.100","20656.525","21539.975","21375.275","23725.650","26054.600","27811.500","29298.025","30767.075","32383.920"
"IMF.RES:WEO(9.0.0)","FRA.PPPGDP.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","2975.790","3114.876","3445.275","3345.026","3656.802","4026.451","4243.080","4396.548","4563.230","4734.241"
"IMF.RES:WEO(9.0.0)","DEU.NGDPD.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3764.023","4057.272","3960.332","3938.244","4358.147","4204.327","4563.523","4684.182","5048.059","5452.858"
"IMF.RES:WEO(9.0.0)","BEL.NGSD_NGDP.A","OBS_VALUE","Belgium","Gross national savings, Percent of GDP","Annual","Units","25.033","24.637","24.815","24.984","26.284","25.341","25.513","24.118","23.513","23.721"
