iso3,country,bloc
ALB,Albania,NATO
BEL,Belgium,NATO
BGR,Bulgaria,NATO
CAN,Canada,NATO
HRV,Croatia,NATO
CZE,Czechia,NATO
DNK,Denmark,NATO
EST,Estonia,NATO
FIN,Finland,NATO
FRA,France,NATO
DEU,Germany,NATO
GRC,Greece,NATO
HUN,Hungary,NATO
ISL,Iceland,NATO
ITA,Italy,NATO
LVA,Latvia,NATO
LTU,Lithuania,NATO
LUX,Luxembourg,NATO
MNE,Montenegro,NATO
NLD,Netherlands,NATO
MKD,North Macedonia,NATO
NOR,Norway,NATO
POL,Poland,NATO
PRT,Portugal,NATO
ROU,Romania,NATO
SVK,Slovakia,NATO
SVN,Slovenia,NATO
ESP,Spain,NATO
SWE,Sweden,NATO
TUR,Türkiye,NATO
GBR,United Kingdom,NATO
USA,United States,NATO
