scenario_code,scenario,cum_E_mil_2026_2050_GtCO2e,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used,pct_1p5_budget_remaining,combined_model,combined_model_label,projected_pathway,trajectory_label,analysis,ssp,s_mil_2025_assumed,cum_E_mil_Gt
S0,Baseline,97.52804826479556,72.17075571594872,55.515965935345164,6.87340530628083,44.484034064654836,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline,,,,
S1,"NATO→3.5%, nonNATO holds",110.87254239540329,82.04568137259844,63.1120625943065,7.8138744164379474,36.8879374056935,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S1: NATO 3.5%,,,,
S2,"NATO→3.5%, nonNATO→3.5%",130.76961395483076,96.76951432657476,74.43808794351905,9.21614422157855,25.56191205648095,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S2: NATO/non-NATO 3.5%,,,,
S3,"NATO→5%, nonNATO→3.5%",155.79054044972023,115.28499993279297,88.6807691790715,10.97952380312314,11.319230820928496,Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S3: NATO 5%; non-NATO 3.5%,,,,
S0,Baseline,25.079307200857198,18.558687328634328,14.275913329718714,1.7674940312985075,85.72408667028128,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — S0: Baseline,SA1_AR6_fixed_split,SSP1-1.9,0.055,
S1,"NATO→3.5%, nonNATO holds",27.903166563047098,20.64834325665485,15.88334096665758,1.9665088815861764,84.11665903334242,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — S1: NATO 3.5%,SA1_AR6_fixed_split,SSP1-1.9,0.055,
S2,"NATO→3.5%, nonNATO→3.5%",32.11363203692211,23.764087707322364,18.28006746717105,2.2632464483164156,81.71993253282895,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — S2: NATO/non-NATO 3.5%,SA1_AR6_fixed_split,SSP1-1.9,0.055,
S3,"NATO→5%, nonNATO→3.5%",37.408368341028165,27.68219257236084,21.293994286431417,2.636399292605794,78.70600571356859,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — S3: NATO 5%; non-NATO 3.5%,SA1_AR6_fixed_split,SSP1-1.9,0.055,
S0,Baseline,51.3015296113212,37.96313191237769,29.202409163367452,3.615536372607399,70.79759083663255,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-2.6,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-2.6 — S0: Baseline,SA1_AR6_fixed_split,SSP1-2.6,0.055,
S1,"NATO→3.5%, nonNATO holds",57.68097328683983,42.68392023226147,32.83378479404728,4.065135260215378,67.16621520595271,SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-2.6,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-2.6 — S1: NATO 3.5%,SA1_AR6_fixed_split,SSP1-2.6,0.055,
