combined_model,combined_model_label,projected_pathway,ar6_model,ar6_scenario,scenario_code,scenario,trajectory_label
Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,,,S0,Baseline,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S0: Baseline
Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,,,S1,"NATO→3.5%, nonNATO holds",Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S1: NATO 3.5%
Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,,,S2,"NATO→3.5%, nonNATO→3.5%",Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S2: NATO/non-NATO 3.5%
Original,Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0),Original model reference parameterisation,,,S3,"NATO→5%, nonNATO→3.5%",Original model — MER reference parameterisation (2025 military footprint 5.5%; g=3%/yr; d_mil=1%/yr; d_rest=1%/yr; epsilon=0) — S3: NATO 5%; non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,IMAGE 3.0.1,SSP1-19,S0,Baseline,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S0: Baseline
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,IMAGE 3.0.1,SSP1-19,S1,"NATO→3.5%, nonNATO holds",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S1: NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,IMAGE 3.0.1,SSP1-19,S2,"NATO→3.5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S2: NATO/non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-1.9,IMAGE 3.0.1,SSP1-19,S3,"NATO→5%, nonNATO→3.5%",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-1.9 — IMAGE 3.0.1 / SSP1-19 — S3: NATO 5%; non-NATO 3.5%
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-2.6,IMAGE 3.0.1,SSP1-26,S0,Baseline,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-2.6 — IMAGE 3.0.1 / SSP1-26 — S0: Baseline
SA1,SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018),SSP1-2.6,IMAGE 3.0.1,SSP1-26,S1,"NATO→3.5%, nonNATO holds",SA1 — AR6 pathways; fixed NATO GDP share (s_NATO=0.5018) — SSP1-2.6 — IMAGE 3.0.1 / SSP1-26 — S1: NATO 3.5%
