analysis,ssp,s_mil_2025_assumed,max_abs_S0_minus_AR6_Gt,S0_minus_AR6_2050_Gt
SA1_AR6_fixed_split,SSP1-1.9,0.033,3.552713678800501e-15,8.881784197001252e-16
SA1_AR6_fixed_split,SSP1-1.9,0.055,3.552713678800501e-15,8.881784197001252e-16
SA1_AR6_fixed_split,SSP1-1.9,0.07,3.552713678800501e-15,-8.881784197001252e-16
SA1_AR6_fixed_split,SSP1-2.6,0.033,1.4210854715202004e-14,3.552713678800501e-15
SA1_AR6_fixed_split,SSP1-2.6,0.055,1.4210854715202004e-14,3.552713678800501e-15
SA1_AR6_fixed_split,SSP1-2.6,0.07,7.105427357601002e-15,0.0
SA1_AR6_fixed_split,SSP2-4.5,0.033,1.4210854715202004e-14,7.105427357601002e-15
SA1_AR6_fixed_split,SSP2-4.5,0.055,1.4210854715202004e-14,0.0
SA1_AR6_fixed_split,SSP2-4.5,0.07,2.1316282072803006e-14,7.105427357601002e-15
SA1_AR6_fixed_split,SSP3-7.0,0.033,1.4210854715202004e-14,0.0
SA1_AR6_fixed_split,SSP3-7.0,0.055,1.4210854715202004e-14,0.0
SA1_AR6_fixed_split,SSP3-7.0,0.07,2.842170943040401e-14,0.0
SA1_AR6_fixed_split,SSP5-8.5,0.033,2.842170943040401e-14,1.4210854715202004e-14
SA1_AR6_fixed_split,SSP5-8.5,0.055,1.4210854715202004e-14,1.4210854715202004e-14
SA1_AR6_fixed_split,SSP5-8.5,0.07,2.842170943040401e-14,1.4210854715202004e-14
