year,analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,GDP_world,GDP_NATO,GDP_nonNATO,s_NATO_GDP,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,economy_GHG_intensity,intensity_multiplier_q,E_mil_Gt,E_rest_Gt,E_world_Gt,E_world_AR6_Gt,s_mil,GDP_model_basis,bloc_split_basis,ar6_model,ar6_scenario,world_GHG_minus_AR6_Gt,E_mil_S0_Gt,E_world_S0_Gt,incremental_E_mil_vs_S0_Gt,incremental_E_world_vs_S0_Gt,cum_E_mil_Gt,cum_incremental_E_mil_vs_S0_Gt,cum_incremental_E_world_vs_S0_Gt
2025,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,138.56683200039697,69.53283629779921,69.03399570259776,0.5018,0.027,0.022985547972701727,1.8773865800405787,1.5867842199693458,3.4641708000099243,0.34955595203439743,0.26264227320688605,0.26481511517757383,1.0,1.2109215220072294,35.48367005396942,36.694591575976645,36.694591575976645,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,1.2109215220072294,36.694591575976645,0.0,0.0,1.2109215220072294,0.0,0.0
2026,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,144.59391012503605,72.55722410074308,72.03668602429296,0.5018,0.027,0.022985547972701727,1.9590450507200632,1.655802702405838,3.6148477531259013,0.31718477030701875,0.23831987015298148,0.24029149265683242,0.9073934185958498,1.1465746542700819,33.598111838762705,34.74468649303279,34.74468649303279,0.032999999999999995,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,1.1465746542700819,34.74468649303279,0.0,0.0,2.3574961762773112,0.0,0.0
2027,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,150.8831409610859,75.71316013427291,75.16998082681299,0.5018,0.027,0.022985547972701727,2.0442553236253684,1.727823200401779,3.7720785240271475,0.28691996641145184,0.2155801146230567,0.2173636109177666,0.820812704637391,1.082284643415228,31.71421970250078,32.796504345916006,32.796504345916006,0.032999999999999995,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,1.082284643415228,32.796504345916006,0.0,0.0,3.4397808196925395,0.0,0.0
2028,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,157.44592705596344,79.00636619668245,78.43956085928099,0.5018,0.027,0.022985547972701727,2.133171887310426,1.8029762890886598,3.9361481763990858,0.2586415561198641,0.19433285529752028,0.19594057281807886,0.7399146105640133,1.018051489462225,29.831993645756715,30.850045135218938,30.850045135218938,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,1.018051489462225,30.850045135218938,0.0,0.0,4.457832309154764,0.0,0.0
2029,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,164.2941669202464,82.44281296057964,81.85135395966675,0.5018,0.027,0.022985547972701727,2.2259559499356505,1.8813982230705095,4.10735417300616,0.23223592436260723,0.17449272638589058,0.17593630633530852,0.6643741095266902,0.9538751930526976,27.951433687332077,28.905308880384776,28.90530888038478,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,-3.552713678800501e-15,0.9538751930526976,28.905308880384776,0.0,0.0,5.411707502207462,0.0,0.0
2030,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,171.44027659999995,86.02873079787997,85.41154580211997,0.5018,0.027,0.022985547972701727,2.3227757315427593,1.9632311834572393,4.286006914999999,0.20759550117052517,0.15597890414288876,0.1572693190685797,0.5938834683326951,0.8897557535397612,26.072539808271184,26.962295561810944,26.962295561810947,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,-3.552713678800501e-15,0.8897557535397612,26.962295561810944,0.0,0.0,6.301463255747223,0.0,0.0
2031,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,177.7089843520823,89.1743683478749,88.5346160042074,0.5018,0.027,0.022985547972701727,2.4077079453926222,2.035016663409435,4.442724608802058,0.19052470098680738,0.14315259196133856,0.14433689468697528,0.5450477952898914,0.8464487776587428,24.8035141816971,25.649962959355843,25.64996295935584,0.033,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,3.552713678800501e-15,0.8464487776587428,25.649962959355843,0.0,0.0,7.147912033405966,0.0,0.0
2032,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,184.20690718512637,92.43502602549641,91.77188115962996,0.5018,0.027,0.022985547972701727,2.495745702688403,2.1094269769397562,4.60517267962816,0.17440891003352915,0.1310438352777177,0.132127962146613,0.49894418624108205,0.8031831475701341,23.535700112130893,24.338883259701028,24.338883259701028,0.03300000000000001,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,0.8031831475701341,24.338883259701028,0.0,0.0,7.9510951809761,0.0,0.0
2033,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,190.94242634059682,95.81490953771149,95.12751680288534,0.5018,0.027,0.022985547972701727,2.5870025575182103,2.1865581009967103,4.773560658514921,0.15920167728578036,0.11961773266149932,0.12060733127710635,0.45543975537888826,0.7599588634609895,22.269097605053847,23.02905646851484,23.02905646851484,0.032999999999999995,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,0.7599588634609895,23.02905646851484,0.0,0.0,8.71105404443709,0.0,0.0
2034,SA1_AR6_fixed_split,SSP1-1.9,S0,Baseline,0.033,197.92422951976133,99.31837837301624,98.60585114674508,0.5018,0.027,0.022985547972701727,2.6815962160714384,2.2665095219225946,4.948105737994033,0.14485865154634198,0.10884096040816839,0.10974140268662272,0.41440762402491554,0.7167759249145329,21.003706648253136,21.72048257316767,21.72048257316767,0.032999999999999995,AR6 World GDP level and trajectory (unrebased),Fixed original NATO GDP share = 0.5018,IMAGE 3.0.1,SSP1-19,0.0,0.7167759249145329,21.72048257316767,0.0,0.0,9.427829969351622,0.0,0.0
