analysis,ssp,s_mil_2025_assumed,max_abs_S0_minus_AR6_Gt,S0_minus_AR6_2050_Gt
SA2_AR6_dynamic_v32_split,SSP1-1.9,0.033,0.000712826625072438,-0.0005503790354781657
SA2_AR6_dynamic_v32_split,SSP1-1.9,0.055,0.002673099844034965,-0.002063921383042455
SA2_AR6_dynamic_v32_split,SSP1-1.9,0.07,0.004009649766054224,-0.003095882074564571
SA2_AR6_dynamic_v32_split,SSP1-2.6,0.033,0.001875477119028801,-0.0018638682380789362
SA2_AR6_dynamic_v32_split,SSP1-2.6,0.055,0.007033039196361557,-0.006989505892804004
SA2_AR6_dynamic_v32_split,SSP1-2.6,0.07,0.010549558794547664,-0.010484258839213112
SA2_AR6_dynamic_v32_split,SSP2-4.5,0.033,0.00369656432835086,-0.00369656432835086
SA2_AR6_dynamic_v32_split,SSP2-4.5,0.055,0.01386211623132283,-0.01386211623132283
SA2_AR6_dynamic_v32_split,SSP2-4.5,0.07,0.020793174346984244,-0.020793174346984244
SA2_AR6_dynamic_v32_split,SSP3-7.0,0.033,0.004899012618551524,-0.004899012618551524
SA2_AR6_dynamic_v32_split,SSP3-7.0,0.055,0.01837129731960374,-0.01837129731960374
SA2_AR6_dynamic_v32_split,SSP3-7.0,0.07,0.027556945979398506,-0.027556945979398506
SA2_AR6_dynamic_v32_split,SSP5-8.5,0.033,0.007370433882030625,-0.007370433882030625
SA2_AR6_dynamic_v32_split,SSP5-8.5,0.055,0.027639127057653923,-0.027639127057653923
SA2_AR6_dynamic_v32_split,SSP5-8.5,0.07,0.041458690586495095,-0.041458690586495095
