year,analysis,ssp,scenario_code,scenario,s_mil_2025_assumed,GDP_world,GDP_NATO,GDP_nonNATO,s_NATO_GDP,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,economy_GHG_intensity,intensity_multiplier_q,E_mil_Gt,E_rest_Gt,E_world_Gt,E_world_AR6_Gt,s_mil,GDP_model_basis,bloc_split_basis,ar6_model,ar6_scenario,world_GHG_minus_AR6_Gt,E_mil_S0_Gt,E_world_S0_Gt,incremental_E_mil_vs_S0_Gt,incremental_E_world_vs_S0_Gt,cum_E_mil_Gt,cum_incremental_E_mil_vs_S0_Gt,cum_incremental_E_world_vs_S0_Gt
2025,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,138.56683200039697,43.97774514368174,94.58908685671523,0.31737569885090355,0.027,0.024070130675639158,1.1873991188794069,2.276771681130518,3.4641708000099247,0.34955595203439743,0.26264227320688605,0.26481511517757383,1.0,1.2109215220072294,35.48367005396942,36.694591575976645,36.694591575976645,0.033,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,0.0,1.2109215220072294,36.694591575976645,0.0,0.0,1.2109215220072294,0.0,0.0
2026,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,144.59391012503605,45.33351151158073,99.26039861345532,0.3135229656102325,0.027,0.024070130675639158,1.2240048108126798,2.3892107655419017,3.6132155763545812,0.31718477030701875,0.23831987015298148,0.24029149265683242,0.9073934185958498,1.1460569526557702,33.598500818918914,34.744557771574684,34.74468649303279,0.03298522203651087,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.000128721458104053,1.1460569526557702,34.744557771574684,0.0,0.0,2.3569784746629994,0.0,0.0
2027,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,150.8831409610859,46.73312797844958,104.15001298263633,0.3097306145721242,0.027,0.024070130675639158,1.2617944554181386,2.506904422361571,3.76869887777971,0.28691996641145184,0.2155801146230567,0.2173636109177666,0.820812704637391,1.0813149554274306,31.714948287026186,32.79626324245362,32.796504345916006,0.03297067557464004,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.00024110346238614966,1.0813149554274306,32.79626324245362,0.0,0.0,3.43829343009043,0.0,0.0
2028,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,157.44592705596344,48.17809427302516,109.26783278293829,0.3059977172728036,0.027,0.024070130675639158,1.3008085453716793,2.6300910137292126,3.930899559100892,0.2586415561198641,0.19433285529752028,0.19594057281807886,0.7399146105640133,1.0166939789167424,29.83301362454264,30.849707603459382,30.850045135218938,0.03295635705807253,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.0003375317595555316,1.0166939789167424,30.849707603459382,0.0,0.0,4.454987409007172,0.0,0.0
2029,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,164.2941669202464,49.669964719013336,114.62420220123306,0.3023233608964627,0.027,0.024070130675639158,1.34108904741336,2.7590195255745655,4.100108572987926,0.23223592436260723,0.17449272638589058,0.17593630633530852,0.6643741095266902,0.9521925044349014,27.952697991833563,28.904890496268465,28.90530888038478,0.03294226299033469,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.00041838411631545114,0.9521925044349014,28.904890496268465,0.0,0.0,5.407179913442074,0.0,0.0
2030,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,171.44027659999995,51.210350355708485,120.22992624429146,0.2987066480019229,0.027,0.024070130675639158,1.382679459604129,2.893950035822553,4.276629495426683,0.20759550117052517,0.15597890414288876,0.1572693190685797,0.5938834683326951,0.8878090434237523,26.074002487899918,26.96181153132367,26.962295561810947,0.03292838993375183,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.0004840304872786305,0.8878090434237523,26.96181153132367,0.0,0.0,6.294988956865827,0.0,0.0
2031,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,177.7089843520823,52.45723246827724,125.25175188380506,0.2951861587613793,0.027,0.024070130675639158,1.4163452766434854,3.0148260351959206,4.431171311839406,0.19052470098680738,0.14315259196133856,0.14433689468697528,0.5450477952898914,0.8442475892095218,24.805168066103,25.649415655312524,25.64996295935584,0.032914885881022427,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.0005473040433159326,0.8442475892095218,25.649415655312524,0.0,0.0,7.139236546075348,0.0,0.0
2032,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,184.20690718512637,53.735867189565425,130.47103999556094,0.29171472454917957,0.027,0.024070130675639158,1.4508684141182664,3.140454982079695,4.591323396197962,0.17440891003352915,0.1310438352777177,0.132127962146613,0.49894418624108205,0.8007677091423278,23.537514975347438,24.338282684489766,24.338883259701028,0.03290156990627111,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.000600575211262111,0.8007677091423278,24.338282684489766,0.0,0.0,7.940004255217676,0.0,0.0
2033,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,190.94242634059682,55.047108440212476,135.89531790038436,0.2882916567846543,0.027,0.024070130675639158,1.4862719278857368,3.2710180600697765,4.757289987955513,0.15920167728578036,0.11961773266149932,0.12060733127710635,0.45543975537888826,0.7573685454173675,22.271043865775045,23.028412411192413,23.02905646851484,0.032888439371932844,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.0006440573224253399,0.7573685454173675,23.028412411192413,0.0,0.0,8.697372800635044,0.0,0.0
2034,SA2_AR6_dynamic_v32_split,SSP1-1.9,S0,Baseline,0.033,197.92422951976133,56.391834602579834,141.53239491718148,0.2849162769985648,0.027,0.024070130675639158,1.5225795342696555,3.4067032404927255,4.929282774762381,0.14485865154634198,0.10884096040816839,0.10974140268662272,0.41440762402491554,0.7140492558426894,21.005755357648997,21.719804613491686,21.72048257316767,0.03287549167910763,AR6 World GDP level and trajectory (unrebased),SSP Basic Drivers v3.2 / OECD ENV-Growth 2025,IMAGE 3.0.1,SSP1-19,-0.00067795967598272,0.7140492558426894,21.719804613491686,0.0,0.0,9.411422056477733,0.0,0.0
