scenario_code,scenario,s_mil_2025_assumed,cum_E_mil_Gt,cum_E_mil_CO2_Gt,pct_1p5_budget_used,pct_2C_budget_used
S0,Baseline,0.033,58.51682895887733,43.302453429569226,33.309579561207094,4.124043183768498
S0,Baseline,0.055,97.52804826479556,72.17075571594872,55.515965935345164,6.87340530628083
S0,Baseline,0.07,124.12660688246707,91.85368909302564,70.65668391771203,8.747970389811966
S1,"NATO→3.5%, nonNATO holds",0.033,63.86353384196144,47.25901504305146,36.35308849465497,4.50085857552871
S1,"NATO→3.5%, nonNATO holds",0.055,106.43922306993574,78.76502507175245,60.588480824424956,7.5014309592145185
S1,"NATO→3.5%, nonNATO holds",0.07,135.46810208900914,100.24639554586676,77.11261195835905,9.547275766273025
S2,"NATO→3.5%, nonNATO→3.5%",0.033,78.46176837289845,58.06170859594485,44.66285276611142,5.529686532947128
S2,"NATO→3.5%, nonNATO→3.5%",0.055,130.76961395483073,96.76951432657474,74.43808794351902,9.216144221578546
S2,"NATO→3.5%, nonNATO→3.5%",0.07,166.43405412433003,123.16120005200422,94.73938465538787,11.72963810019088
S3,"NATO→5%, nonNATO→3.5%",0.033,88.48684002868114,65.48026162122405,50.369432016326186,6.236215392497528
S3,"NATO→5%, nonNATO→3.5%",0.055,147.47806671446858,109.13376936870675,83.94905336054364,10.393692320829214
S3,"NATO→5%, nonNATO→3.5%",0.07,187.69935763659637,138.8975246510813,106.84424973160101,13.228335681055363
