year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2025,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.587489462,1.341760538,2.9292499999999997,1.023299479388922,0.45082424616435024,2.9974999999999996,51.5025,54.5,0.05499999999999999,Original model reference case
2026,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.63511414586,1.3820133541400001,3.0171275,1.0130664845950328,0.44631600370270674,3.0565507499999995,52.51709925,55.57365,0.05499999999999999,Original model reference case
2027,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.6841675702358,1.4234737547641998,3.107641325,1.0029358197490825,0.4418528436656797,3.116764799775,53.55168610522499,56.668450904999986,0.055000000000000014,Original model reference case
2028,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.734692597342874,1.466177967407126,3.2008705647499998,0.9929064615515917,0.4374343152290229,3.178165066330567,54.60665432149793,57.78481938782849,0.055,Original model reference case
2029,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.7867333752631605,1.51016330642934,3.2968966816925005,0.9829773969360758,0.43305997207673264,3.24077491813728,55.68240541163145,58.923180329768726,0.055,Original model reference case
2030,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.8403353765210553,1.5554682056222198,3.395803582143275,0.973147622966715,0.42872937235596525,3.3046181840245836,56.77934879824058,60.08396698226516,0.055,Original model reference case
2031,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.8955454378166867,1.6021322517908867,3.497677689607573,0.9634161467370479,0.4244420786324057,3.3697191622498686,57.89790196956591,61.26762113181577,0.055000000000000014,Original model reference case
2032,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.9524118009511877,1.6501962193446136,3.6026080202958015,0.9537819852696773,0.4201976578460816,3.436102629746191,59.03849063836638,62.47459326811257,0.05499999999999999,Original model reference case
2033,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.0109841549797234,1.6997021059249517,3.710686260904675,0.9442441654169805,0.41599568126762076,3.503793851552191,60.20154890394218,63.70534275549437,0.05500000000000001,Original model reference case
2034,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.071313679629115,1.7506931691027006,3.8220068487318155,0.9348017237628108,0.41183572445494454,3.5728185904277696,61.38751941734985,64.96033800777762,0.05500000000000001,Original model reference case
2035,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.133453090017989,1.8032139641757814,3.9366670541937703,0.9254537065251827,0.4077173672103951,3.6432031166591967,62.59685354987164,66.24005666653083,0.055000000000000014,Original model reference case
2036,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.1974566827185282,1.8573103831010551,4.054767065819584,0.9161991694599309,0.40364019353829117,3.714974218057383,63.830011564804124,67.5449857828615,0.05500000000000001,Original model reference case
2037,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.2633803832000843,1.9130296945940866,4.176410077794171,0.9070371777653315,0.39960379160290826,3.7881592101531134,65.08746279263076,68.87562200278387,0.05500000000000001,Original model reference case
2038,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.331281794696087,1.9704205854319092,4.301702380127996,0.8979668059876781,0.3956077536868791,3.8627859465931293,66.36968580964557,70.23247175623871,0.05500000000000001,Original model reference case
2039,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.40122024853697,2.029533202994867,4.430753451531837,0.8889871379278014,0.39165167615001034,3.938882829741015,67.67716862009561,71.61605144983663,0.055,Original model reference case
2040,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.4732568559930788,2.090419199084713,4.563676055077792,0.8800972665485234,0.3877351593885103,4.016478821486913,69.0104088419115,73.02688766339841,0.05500000000000001,Original model reference case
2041,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.547454561672871,2.153131775057254,4.700586336730125,0.8712962938830381,0.38385780779462514,4.095603454270204,70.36991389609716,74.46551735036736,0.054999999999999986,Original model reference case
2042,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.623878198523057,2.217725728308972,4.841603926832029,0.8625833309442077,0.3800192297166789,4.176286842319327,71.75620119985027,75.9324880421696,0.05499999999999999,Original model reference case
2043,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.7025945444787496,2.2842575001582412,4.986852044636991,0.8539574976347656,0.37621903741951207,4.258559693113019,73.16979836348732,77.42835805660033,0.055000000000000014,Original model reference case
2044,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.7836723808131114,2.3527852251629886,5.1364576059761,0.845417922658418,0.372456847045317,4.342453319067345,74.61124339124802,78.95369671031537,0.05499999999999999,Original model reference case
2045,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.867182552237505,2.4233687819178784,5.290551334155383,0.8369637434318338,0.3687322785748638,4.427999649452972,76.0810848860556,80.50908453550858,0.05500000000000001,Original model reference case
2046,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,2.9531980288046302,2.4960698453754144,5.449267874180045,0.8285941059975155,0.36504495578911517,4.515231242547196,77.5798822583109,82.0951135008581,0.055,Original model reference case
2047,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,3.0417939696687695,2.570951940736677,5.6127459104054465,0.8203081649375403,0.36139450623122404,4.604181298025376,79.10820593879964,83.71238723682502,0.05499999999999999,Original model reference case
2048,S0,Baseline,0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,3.1330477887588324,2.648080498958777,5.78112828771761,0.8121050832881649,0.35778056116891177,4.694883669596475,80.66663759579399,85.36152126539046,0.05499999999999999,Original model reference case
